#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://gitlab.com/ifnot1then0/dwmblocks.git,"serves as the modular status bar."
G,https://gitlab.com/ifnot1then0/dmenu.git,"runs commands and provides a UI for selection."
G,https://gitlab.com/ifnot1then0/st.git,"is my custom build of suckless's terminal emulator."
G,https://gitlab.com/ifnot1then0/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,qutebrowser,"A keyboard-driven, vim-like browser based on Python and Qt."
,tesseract-data-eng,"english language pack for OCR"
,vi,"A text editor."
,expect,"A tool for automating interactive applications."
,dhclient,"A standalone DHCP client from the dhcp package."
,dhcpcd,"DHCP/ IPv4LL/ IPv6RA/ DHCPv6 client."
,inetutils,"A collection of common network programs."
,iputils,"Network monitoring tools, including ping."
,lsscsi,"A tool that lists devices connected via SCSI and its transports."
,wol,"Wake On LAN functionality in a small program. It wakes up hardware that is Magic Packet compliant."
,sane,"A scanning tool for scanning document from the printer."
,netctl,"Profile based systemd network management."
,poppler,"A pdf utility to combine multiple pdf documents."
,wget,"A network utility to retrieve files from the Web."
,nmap,"Utility for network discovery and security auditing."
,xorg-xset,"User preference utility for X."
,rsync,"A fast and versatile file copying tool for remote and local files."
,cifs-utils,"A CIFS filesystem user-space tools."
,nfs-utils,"A support programs for Network File Systems."
,nvtop,"GPUs process monitoring for AMD, Intel and NVIDIA."
,bluez,"Daemons for the bluetooth protocol stack."
,bluez-utils,"Development and debugging utilities for the bluetooth protocol stack."
,python-pip,"The PyPA recommended tool for installing Python packages."
,python-pylint,"Analyzes Python code looking for bugs and signs of poor quality."
,ethtool,"A Utility for controlling network drivers and hardware."
,cups,"OpenPrinting CUPS - daemon package"
,cups-pdf,"PDF printer for cups"
,nss-mdns,"glibc plugin providing host name resolution via mDNS"
,ufw,"is a Uncomplicated and easy to use CLI tool for managing a netfilter firewall."
,lsscsi,"a nice utility to list devices like hard drives."
,cronie,"is a Daemon that runs specified programs at scheduled times and related tools."
,btop,"is A monitor of system resources, bpytop ported to C++."
,wireguard-tools,"A next generation secure network tunnel - tools for configuration."
,transmission-cli,"A Fast, easy, and free BitTorrent client."
,python-pynvim,"A python3 module for neovim."
,npm,"A package manager for JavaScript."
,nodejs,"An evented I/O for V8 JavaScript."
,zsh-theme-powerlevel10k,"Powerlevel10k is a theme for Zsh. It emphasizes speed, flexibility and out-of-the-box experience."
,zsh-autosuggestions,"is a Fish-like autosuggestions for zsh."
,exodus,"Send recieve and exchange crypto. Crypto Wallet."
,gimp,"GNU Image Manipulation Program."
A,proton-mail,"Proton official desktop application for Proton Mail and Proton Calendar."
A,expressvpn,"Proprietary VPN client for Linux."
A,dict,"An easy to use english dictionary for the command line."
A,proton-mail,"Proton official desktop application for Proton Mail and Proton Calendar."
A,light,"A program to control backlights on keyboards"
A,stig,"A TUI and CLI client for the Transmission daemon."
A,ipinfo-cli,"is the Official Command Line Interface for the IPinfo API."
A,ookla-speedtest-bin,"A internet Speedtest CLI by Ookla."
A,colorpicker,"Lets you Click on a pixel on your screen and print its color value in RGB."
A,zsh-theme-powerlevel10k, "Zsh theme that offeres speed and flexibility and customization."
